รหัสวิชา,ประเภท,รหัสตัวชี้วัด,คำอธิบาย/จุดประสงค์,ประเมิน
ว32101,พื้นฐาน,ว 2.1 ม.5/19,สืบค้นข้อมูลและนาเสนอผลกระทบของการใช้ผลิตภัณฑ์พอลิเมอร์ที่มีต่อสิ่งมีชิวิตและสิ่งแวดลอม พร้อมแนวทางป้องกัน หรือแก้ไข,ปลายทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/20,ระบุสูตรเคมีของสารตั้งต้น ผลิตภัณฑ์ และแปลความหมาย ของสัญลักษณ์ในสมการเคมีของปฏิกิริยาเคมี,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/21,ทดลองและอธิบายผลของความเข้มข้น พื้นที่ผิว อุณหภูมิ และตัวเร่งปฏิกิริยา ที่มีผลต่ออัตราการเกิดปฏิกิริยาเคมี,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/22,สืบค้นข้อมูลและอธิบายปัจจัยที่มีผลต่ออัตราการเกิดปฏิกิริยาเคมีที่ใช้ประโยชน์ในชีวิตประจาวันหรือใน อุตสาหกรรม,ปลายทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/23,อธิบายความหมายของปฏิกิริยารีดอกซ์,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/24,อธิบายสมบัติของสารกัมมันตรังสี และคำนวณครึ่งชีวิตและปริมาณของสารกัมมันตรังสี,ระหว่างทาง
ว32101,พื้นฐาน,ว 2.1 ม.5/25,สืบค้นข้อมูลและนำเสนอตัวอย่างประโยชน์ของสารกัมมันตรังสีและการป้องกันอันตรายที่เกิดจากกัมมันตภาพรังสี ,ระหว่างทาง
พ32201,พื้นฐาน,พ 1.1 ม.2/1 ,อธิบายการเปลี่ยนแปลงด้านร่างกายจิตใจ อารมณ์ สังคม และสติปัญญาในวัยรุ่น,ระหว่างทาง
พ32201,พื้นฐาน,พ 1.1 ม.2/2 ,ระบุปัจจัยที่มีผลกระทบต่อการเจริญเติบโตและพัฒนาการด้านร่างกาย จิตใจ อารมณ์ สังคมและสติปัญญาในวัยรุ่น,ปลายทาง
พ32201,พื้นฐาน,พ 2.1 ม.2/1,วิเคราะห์ปัจจัยที่มีอิทธิพลต่อเจตคติในเรื่องเพศ,ระหว่างทาง
พ32201,พื้นฐาน,พ 2.1 ม.2/2,วิเคราะห์ปัญหาและผลกระทบที่เกิดจากการมีเพศสัมพันธ์ในวัยเรียน,ระหว่างทาง
พ32201,พื้นฐาน,พ 2.1 ม.2/4,อธิบายความสำคัญของความเสมอภาคทางเพศและวางตัวได้อย่างเหมาะสม,ระหว่างทาง
พ32201,พื้นฐาน,พ 2.1 ม.2/3 ,อธิบายวิธีป้องกันตนเองและหลีกเลี่ยงจากโรคติดต่อทางเพศสัมพันธ์ เอดส์ และการตั้งครรภ์โดยไม่พึงประสงค์,ปลายทาง
พ32201,พื้นฐาน,พ 4.1 ม.2/7,พัฒนาสมรรถภาพทางกายตนเองให้เป็นไปตามเกณฑ์ที่กำหนด,ระหว่างทาง
พ32201,พื้นฐาน,พ 4.1 ม.2/1 ,เลือกใช้บริการทางสุขภาพอย่างมีเหตุผล,ปลายทาง
ส32201,เพิ่มเติม,1,รู้และเข้าใจความหมายของการขัดกันระหว่างประโยชน์ส่วนตนและผลประโยชน์ ส่วนรวมในระดับ สังคม ประเทศชาติ สังคมโลก,
ส32201,เพิ่มเติม,2,รู้และเข้าใจประมวลกฎหมายอาญาที่เกี่ยวข้องกับการแก้ไขปัญหาการทุจริต,
ส32201,เพิ่มเติม,3,แยกแยะความแตกต่างระหว่างผลประโยชน์ส่วนตนและผลประโยชน์ส่วนรวม ที่ส่งผลต่อประเทศในระดับอาเซียน,
ส32201,เพิ่มเติม,4,รู้และเข้าใจกระบวนการในการต่อต้านการป้องกันการทุจริต ความเป็นพลเมืองและ ความเป็นพลโลกที่ดี,
ส32201,เพิ่มเติม,5,รู้วิธีการแก้ปัญหาการทุจริตในสังคมไทยโดยยึดหลัก STRONG : จิตพอเพียง ต้านทุจริต,
ส32201,เพิ่มเติม,6,นำพฤติกรรมที่เกิดจากระบบคิดฐานสองไปแก้ระบบคิดฐานสิบที่ส่งผลต่อระดับประเทศและสังคมโลก,
ส33202,เพิ่มเติม,1,รู้และเข้าใจปัญหาการทุจริตที่เกิดขึ้นในประเทศไทยและส่งผลกระทบต่อประเทศ ต่าง ๆ และโลก,
ส33202,เพิ่มเติม,2,นำเสนอแนวทางแก้ปัญหาผลประโยชน์ทับซ้อน การสร้างสำนึกความเป็นพลเมือง ที่มีความรับผิดชอบต่อการทุจริต วิธีการปฏิบัติตนเป็นผู้ที่มีความละอายและความไม่ทนต่อการทุจริต,
ส33202,เพิ่มเติม,3,จัดกิจกรรมอาสาโดยผ่านกระบวนการ STRONG : จิตพอเพียงต้านทุจริต เพื่อการพัฒนาประเทศสู่สังคมโลก,
ส33202,เพิ่มเติม,4,นำเสนอแนวทางการแก้ปัญหาและวิธีการปฏิบัติในการแก้ไขปัญหาการทุจริต ในฐานะเป็นพลเมืองดีและเป็นพลโลก,
ส33202,เพิ่มเติม,5,ตระหนักและเห็นความสำคัญของการปฏิบัติตนเป็นผู้มีคุณธรรมจริยธรรมเกี่ยวกับ ความพอเพียง มีวินัย ซื่อสัตย์สุจริตและมีจิตสาธารณะในการป้องกันการทุจริต,
ว30202,เพิ่มเติม,1,อธิบายสมดุลกลของวัตถุ โมเมนต์ และผลรวมของโมเมนต์ที่มีต่อการหมุน แรงคู่ควบและผลของแรงคู่ควบที่มีต่อสมดุลของวัตถุ เขียนแผนภาพของแรงที่กระทำต่อวัตถุอิสระเมื่อวัตถุอยู่ในสมดุลกลและคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง รวมทั้งทดลองและอธิบายสมดุลของแรงสามแรง,
ว30202,เพิ่มเติม,2,สังเกตและอธิบายสภาพการเคลื่อนที่ของวัตถุ เมื่อแรงที่กระทำต่อวัตถุผ่านศูนย์กลางมวลของวัตถุ และผลของศูนย์ถ่วงที่มีต่อเสถียรภาพของวัตถุ,
ว30202,เพิ่มเติม,3,วิเคราะห์ และคำนวณงานของแรงคงตัว จากสมการและพื้นที่ใต้กราฟความสัมพันธ์ระหว่างแรงกับตำแหน่ง รวมทั้งอธิบายและคำนวณกำลังเฉลี่ย,
ว30202,เพิ่มเติม,4,อธิบายและคำนวณพลังงานจลน์ พลังงานศักย์ พลังงานกล ทดลองหาความสัมพันธ์ระหว่างงานกับพลังงานจลน์ ความสัมพันธ์ระหว่างงานกับพลังงานศักย์โน้มถ่วง ความสัมพันธ์ระหว่างขนาดของแรงที่ใช้ดึงสปริงกับระยะที่สปริงยืดออกและความสัมพันธ์ระหว่างงานกับพลังงานศักย์ยืดหยุ่น รวมทั้งอธิบายความสัมพันธ์ระหว่างงานของแรงลัพธ์และพลังงานจลน์ และคำนวณงานที่เกิดขึ้นจากแรงลัพธ์,
ว30202,เพิ่มเติม,5,อธิบายกฎการอนุรักษ์พลังงานกล รวมทั้งวิเคราะห์ และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องกับการเคลื่อนที่ของวัตถุในสถานการณ์ต่าง ๆ โดยใช้กฎการอนุรักษ์พลังงานกล,
ว30202,เพิ่มเติม,6,อธิบายการทำงาน ประสิทธิภาพและการได้เปรียบเชิงกลของเครื่องกลอย่างง่ายบางชนิดโดยใช้ความรู้เรื่องงานและสมดุลกล รวมทั้งคำนวณประสิทธิภาพและการได้เปรียบเชิงกล,
ว30202,เพิ่มเติม,7,อธิบาย และคำนวณโมเมนตัมของวัตถุ และการดลจากสมการและพื้นที่ใต้กราฟความสัมพันธ์ระหว่างแรงลัพธ์กับเวลา รวมทั้งอธิบายความสัมพันธ์ระหว่างแรงดลกับโมเมนตัม,
ว30202,เพิ่มเติม,8,ทดลอง อธิบาย และคำนวณปริมาณต่าง ๆ ที่เกี่ยวกับการชนของวัตถุในหนึ่งมิติทั้งแบบยืดหยุ่นไม่ยืดหยุ่น และการดีดตัวแยกจากกันในหนึ่งมิติซึ่งเป็นไปตามกฎการอนุรักษ์โมเมนตัม,
ว30202,เพิ่มเติม,9,อธิบาย วิเคราะห์ และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องกับการเคลื่อนที่แบบโพรเจกไทล์ และทดลองการเคลื่อนที่แบบโพรเจกไทล์,
ว30202,เพิ่มเติม,10,ทดลองและอธิบายความสัมพันธ์ระหว่างแรงสู่ศูนย์กลาง รัศมีของการเคลื่อนที่ อัตราเร็วเชิงเส้นอัตราเร็วเชิงมุม และมวลของวัตถุในการเคลื่อนที่แบบวงกลมในระนาบระดับ รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง และประยุกต์ใช้ความรู้การเคลื่อนที่แบบวงกลมในการอธิบายการโคจรของดาวเทียม,
ว30201,เพิ่มเติม,1,สืบค้น และอธิบายการค้นหาความรู้ทางฟิสิกส์ประวัติความเป็นมา รวมทั้งพัฒนาการของหลักการและแนวคิดทางฟิสิกส์ที่มีผลต่อการแสวงหาความรู้ใหม่และการพัฒนาเทคโนโลยี,
ว30201,เพิ่มเติม,2,วัด และรายงานผลการวัดปริมาณทางฟิสิกส์ได้ถูกต้องเหมาะสม โดยนำความคลาดเคลื่อนในการวัดมาพิจารณาในการนำเสนอผล รวมทั้งแสดงผลการทดลองในรูปของกราฟ วิเคราะห์และแปลความหมายจากกราฟเส้นตรง,
ว30201,เพิ่มเติม,3,ทดลอง และอธิบายความสัมพันธ์ระหว่างตำแหน่ง การกระจัด ความเร็ว และความเร่งของการเคลื่อนที่ของวัตถุในแนวตรงที่มีความเร่งคงตัวจากกราฟและสมการ รวมทั้งทดลองหาค่าความเร่งโน้มถ่วงของโลก และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30201,เพิ่มเติม,4,ทดลอง และอธิบายการหาแรงลัพธ์ของแรงสองแรงที่ทำมุมต่อกัน,
ว30201,เพิ่มเติม,5,เขียนแผนภาพของแรงที่กระทำต่อวัตถุอิสระทดลอง และอธิบายกฎการเคลื่อนที่ของนิวตันและการใช้กฎการเคลื่อนที่ของนิวตันกับสภาพการเคลื่อนที่ของวัตถุ รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30201,เพิ่มเติม,6,อธิบายกฎความโน้มถ่วงสากลและผลของสนามโน้มถ่วงที่ทำให้วัตถุมีน้ำหนัก รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้อง,
ว30201,เพิ่มเติม,7,วิเคราะห์ อธิบาย และคำนวณแรงเสียดทานระหว่างผิวสัมผัสของวัตถุคู่หนึ่ง ๆ ในกรณีที่วัตถุหยุดนิ่งและวัตถุเคลื่อนที่ รวมทั้งทดลองหาสัมประสิทธิ์ความเสียดทานระหว่างผิวสัมผัสของวัตถุคู่หนึ่ง ๆ และนำความรู้เรื่องแรงเสียดทานไปใช้ในชีวิตประจำวัน,
ว30201,เพิ่มเติม,8,อธิบาย วิเคราะห์และคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องกับการเคลื่อนที่แบบโพรเจกไทล์และทดลองการเคลื่อนที่แบบโพรเจกไทล,
ว30201,เพิ่มเติม,9,ทดลอง และอธิบายความสัมพันธ์ระหว่างแรงสู่ศูนย์กลาง รัศมีของการเคลื่อนที่อัตราเร็วเชิงเส้น อัตราเร็วเชิงมุม และมวลของวัตถุในการเคลื่อนที่แบบวงกลมในระนาบระดับ รวมทั้งคำนวณปริมาณต่าง ๆ ที่เกี่ยวข้องและประยุกต์ใช้ความรู้การเคลื่อนที่แบบวงกลมในการอธิบายการโคจรของดาวเทียม,
